id,name,qoh,qa,qoo,avail,limit,price
45745,Chipotle White Corn,5.0000,5.0000,0.0000,0.0000,0,1.60
457670,Nesquick Chocolate Milk,2.0000,2.0000,0.0000,0.0000,0,0.48
45897,Peanut Butter Oatmeal Squares,4.0000,4.0000,0.0000,0.0000,0,1.28
46619,Chocolate Pretzel Bars,162.0000,0.0000,0.0000,162.0000,0,0.80
48522,Guacamole Tortilla Chips,6.0000,6.0000,0.0000,0.0000,0,1.60
48675,Juicy Juice Cars Variety Pack,63.0000,0.0000,0.0000,63.0000,0,1.28
48958,Cheddar Broccoli Soup Mix,240.0000,120.0000,0.0000,120.0000,0,1.28
50003,Thin Cut Skin Cut Fries,73.0000,39.0000,0.0000,34.0000,0,6.08
508401,Lemon meringue pudding,51.0000,0.0000,0.0000,51.0000,0,1.44
520001,Gatorade Cherry Glacier,0.0000,57.0000,0.0000,-57.0000,0,0.00
524685,Quick Grits,3.0000,0.0000,0.0000,3.0000,0,6.56
52853,Raspberry Cheesecake Bars,89.0000,89.0000,0.0000,0.0000,0,0.80
53032,Breakfast Essentials Milk,5.0000,0.0000,0.0000,5.0000,0,0.96
53285,Country sausage gravy,0.0000,1.0000,0.0000,-1.0000,0,7.04
53841,Chocolate Caramel Bars,27.0000,0.0000,0.0000,27.0000,0,0.00
54001,Assorted Sunny D Orange/Straw,15.0000,0.0000,0.0000,15.0000,0,2.00
55015,Salt & Pepper Chips,9.0000,9.0000,0.0000,0.0000,0,0.80
55098,Chicken tenderloins,0.0000,6.0000,0.0000,-6.0000,3,6.40
55102,Sweet & Salty Trail Mix Bars,1.0000,1.0000,0.0000,0.0000,0,0.64
55214,Coffee Mate Cinnamon Vanilla,0.0000,1.0000,0.0000,-1.0000,0,0.96
55313,Sunny D Fruit Punch,11.0000,0.0000,0.0000,11.0000,0,2.88
55489,Mac & Cheese Dinner,1159.0000,1159.0000,0.0000,0.0000,0,0.96
56168,Similac Ready to Feed Milk,46.0000,0.0000,0.0000,46.0000,0,3.04
56190,Rice Kripies Variety Packs,109.0000,0.0000,0.0000,109.0000,0,0.48
